Item #	Item Description	R Value	Donar	Advertisement
415	"AAA Travel Pack: Disney Travel Bag, Atlas, Photo Album, Camera"	$30.00	AAA Travel Agency	AAA Travel Agency...for all your travel needstravel with someone you trust.  Located at 1053 Washington Square in Washington
416	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
417	New AAA Basic Membership for Two	$85.00	Curt Holzem - AAA Insurance	Bring the security of AAA home with auto & homeowners insurance.  Located at 1053 Washington Square in Washington
418	Magnovok DVD Player	$40.00	E Z Care Systems	For all your satellite TV and high speed internet needs cll E Z Care 239-3899
419	Free Month Membership with Enrollmetn Fee Included	$72.00	The Competitive Edge	Want to get back in shape?  Check US out!
420	Gift Basker from IB Nuts & Fruit Too	$35.00	HORN ARCHITECTS	Serving Franklin County with excellent Architectural Design for 17 years.
421	One Dozen Michelob Ultra Monogrammed Balls	$45.00	Missouri Eagle LLC	Have the best-looking balls in the fairway - pick up at Missouri Eagle
422	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
423	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
424	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
425	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
426	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
427	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
428	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
429	Gift Basket	$35.00	I.B. Nuts and Fruits Too	"Easter bunnies, Easter gifts & our gourmet line of chocolates, nuts, snack mixes, dried fruit and other fine foods."
430	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
431	$50.00 Gift Certificate to Stefanina's Pizzeria & Restaurant	$50.00	Keary Williams/Oakleaf Mobile Home Park-St.Charles	Gift certificate good at the O'Fallon and Express Locations - Stefanina's a tradition since 1981
432	$30 Gift Certificate	$30.00	Marquart's Landing - Rick Marquart	
433	Office visit for you pet	$30.00	Franklin County Animal Medical Center	Animal Med Center on 14th St. in Washington offers full service medical care & grooming for your pet
434	Droege's Six (6) US choice 12oz Ribeye steaks	$45.00	Robert F. Weber Custom Builders	For all your construction needs call Robert F. Weber Custom Builder at 239-2399
435	Office visit for your pet	$30.00	Franklin County Animal Medical Center	Animal Med Center on 14th St. in Washington offers full service medical care & grooming for your pet
436	Williams Brothers famous 4 oz filet Mignon	$50.00	Parmentier Auto Body	We do car detailing
437	$30 Gift Certificate	$30.00	Marquart's Landing	
438	$30 Gift Certificate	$30.00	Marquart's Landing	
439	$50.00 Williams Brothers Gift Certificate	$50.00	Dr. Albert Marchiando	
440	$30 Gift Certificate	$30.00	Marquart's Landing	
441	Droege's BBQ Package	$45.00	Unnerstall & Unnerstall CPA	Your friendly tax professionals
442	$30 Gift Certificate	$30.00	Marquart's Landing	
443	4 Field Box Seats (section 148) - date to be determined	$168.00	"Ince Homes, Inc."	Designer and builder of fine custom and estate homes.
444	Droege's BBQ Package	$45.00	Unnerstall & Unnerstall CPA	Your friendly tax professionals
445	Droege's BBQ Package	$45.00	Unnerstall & Unnerstall CPA	Your friendly tax professionals
446	Droege's BBQ Package	$45.00	Unnerstall & Unnerstall CPA	Your friendly tax professionals
447	Lunch for 2 at Basket Case	$25.00	RE/MAX FIRST GOLD - Ginger Brinker	"Call Matt McClelland or Ginger Brinker for outstanding real estate service.  Matt & Ginger are recognized, respected and recommended"
448	Lunch for 2 at Basket Case	$25.00	RE/MAX FIRST GOLD - Ginger Brinker	"Call Matt McClelland or Ginger Brinker for outstanding real estate service.  Matt & Ginger are recognized, respected and recommended"
449	Lunch for 2 at Basket Case	$25.00	RE/MAX FIRST GOLD - Ginger Brinker	"Call Matt McClelland or Ginger Brinker for outstanding real estate service.  Matt & Ginger are recognized, respected and recommended"
450	Lunch for 2 at Basket Case	$25.00	RE/MAX FIRST GOLD - Ginger Brinker	"Call Matt McClelland or Ginger Brinker for outstanding real estate service.  Matt & Ginger are recognized, respected and recommended"
451	4 Cardinal Baseball Tickets	$180.00	National City Bank	We make Banking Simple for lives that aren't. Located at the corner of 8th & Hwy. 47 in Washington. Game date to be chosen by National City. Contact National City for seat location and available dates.
452	"Framed Print: ""Vidal II"""	$80.00	"Miriam Krone, Local Watercolor Artist"	See this New Haven Artist's work on display currently at the Downtown Washington Train Depot.
453	Apple 30 GB iPod Video - Black 5.5 Generation	$237.00	Lang & Becker-Mark S. Becker financial advisor	Lang & Becker at 421 West 5th St. in Washington
454	7 Piece Flex Head Gear Wrench Set	$100.00	NAPA Auto Parts	get the good stuff at NAPA. 1361 High street in Washington
455	Men's Haircare Package - $16.00 GC for haircut and lots of Redken hair care products in a travel bag.	$75.00	Hair Engineers West - Rhonda Kliendienst	"located in the clocktower plaza, Washington."
456	Original St. Louis Newspapers	$75.00	Ruth Liebach	"10-12-82, 10-21-82, 10-22-82 Souvenir Editions 1982 World Series; 8-15-45am, 8-15-45pm War Ends, Japan Accepts; 3-31-81 2 editions, President Reagan Shot; 7-21, 7-22, 7-23, 7-24, 7-25-69, Men Walk on the moon and Apollo splash down."
457	"2 Tickets for ""Late Night Catechism"" on May 12th @ SFBRHS Theatre"	$100.00	John and Nadine Feltmann	"Presented by The Portals Corp. a not-for-profit organization designed to support children and families facing extraordinary life circumstances.  ""Late Night Catechism"" is a one-woman play featuring an outlandish nun who is guaranteed to have you laughing."
458	Lube - Oil - Filter	$30.00	Unnerstall Tire Co	Call Unnerstall Tire for all your car maintenance needs.
459	Lube - Oil - Filter	$30.00	Unnerstall Tire Co	Call Tom or Keith for your Tire and Car needs
460	Lube - Oil - Filter	$30.00	Unnerstall Tire Co	Call Unnerstall Tire for all your car needs
461	Lube - Oil - Flter	$30.00	Unnerstall Tire Co	Call Unnerstall Tire for your car needs
462	26 Quart Mop Bucket with 3-inch Casters and Larger Wringer	$86.00	All Pro Supply	"Stocking distributor for institutional, janitorial, building maintenance supplies, equipment and paper products."
463	2 Month Membership	$143.00	Curves for Women	$143 value for a new member or $68 value for a current member.  Includes service fee.
464	2 Cardinals Tickets - Casino Queen Party Porch	$64.00	Show Me Trophies & Awards	Mutually agreed upon date.  Your complete recognition store in Historic Downtown Washington.
465	2 Cardinals Tickets - Casino Queen Party Porch	$64.00	Show Me Trophies & Awards	Mutually agreed upon date.  Your complete recognition store in Historic Downtown Washington.
466	Helicopter Ride for 2	$300.00	AIR EVAC LIFETEAM 13	"Appox. 15 minute ride.  When it comes to critical care, its about time. To learn more or become a member, call John Farrar @417-293-0716"
467	Lunch for 4 at Basket Case	$50.00	First Bank	Call Eric Patke or Renee Kerpash for all your banking needs.
468	$35.00 Aldo's Restaurant Gift Certificate	$35.00	First Bank	Call Eric Patke or Renee Kerpash for all your banking needs.
469	$35.00 Aldo's Restaurant Gift Certificate	$35.00	First Bank	Call Eric Patke or Renee Kerpash for all your banking needs.
470	Droege's BBQ Feast	$45.00	First Bank	Call Eric Patke or Renee Kerpash for all your banking needs.
471	Droege's BBQ Package	$45.00	First Bank	Call Eric Patke or Renee Kerpash for all your banking needs.
472	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"BRIDGEWATER COMMUNITIES, INC."	Come see The Villas at River Crossing near 14th and High Street in Washington
473	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"BRIDGEWATER COMMUNITIES, INC."	Come see The Villas at River Crossing near 14th and Jefferson in Washington
474	J&M Car Wash-10 Automatic car wash package	$45.00	"BRIDGEWATER COMMUNITIES, INC."	Come see The Villas at River Crossing near 14th and Jefferson in Washington
475	J&M Car Wash-10 Automatic car wash package	$45.00	"BRIDGEWATER COMMUNITIES, INC."	Come see The Villas at River Crossing near 14th and Jefferson in Washington
476	4 Cardinal Tickets - Field Box Seats	$340.00	"Lang & Becker, Inc."	Section 148 Row 10 right behind home plate.  Call for a mutually agreed upon date.  Lang & Becker at 421 East 5th St. in Washington.  Mark Becker Financial Advisor
477	Tansmission Filter Service - Labor Only	$60.00	Thomas Auto Care Inc.	"433 Elm Street Washington, MO 63090"
478	"""North Glacier"" 14x14x94"" Hexagonal Screen House"	$200.00	"North Pole U.S., LLC"	"Manufacturer and licensee of Columbia Tents.  Screen house is great for weekend getaways and party ""dining al fresco"""
479	"""North Glacier"" 14x14x94"" Hexagonal Screen House"	$200.00	"North Pole U.S., LLC"	"Manufacturer and licensee of Columbia Tents.  Screen house is great for weekend getaways and party ""dining al fresco"""
480	"""Stargazer"" 16x10x78"" Tent"	$290.00	"North Pole U.S., LLC"	"Manufacturer and licensee of Columbia Tents.  16x10x78"" Center height, 2 room family dome features taped-seam rainfly - excellent ventalation - room for lots of gear!"
481	Droege's BBQ Package	$45.00	Jim's Heating and Cooling	Turn to the experts at Jim's Heating & Cooling for all your heating & cooling needs
482	Droege's BBQ Rib Feast	$45.00	Jim's Heating and Cooling	turn to the experts at Jim's Heating & Cooling for all your heating & cooling needs
483	Mystery Dinner Party For 8 People	$0.00	"Deb Toedebusch,Tim&Sandi McDonald,Greg&DebSkornia"	"It's a mystery but not a murder mystery.  Come be surprised - one thing you can be sure of is good food, good drinks, good service and good fun with seven of your closest friends.  Mutually agreed on date from April 1 - December 31, 2006."
484	Three Month Full Family Membership	$192.00	Four Rivers YMCA	
485	Three Month Full Adult Membership	$129.00	Four Rivers YMCA	
486	Three Month Full Adult Membership	$129.00	Four Rivers YMCA	
487	Three Month Full Family Membership	$192.00	Four Rivers YMCA	
488	Williams Brothers BBQ Package	$80.00	Barklage Builders	See us for all of your residential building needs
489	Williams Brothers BBQ Package	$80.00	Barklage Builders	See us for all of your residential building needs
490	Williams Brothers BBQ Package	$80.00	Barklage Builders	See us for all of your residential building needs
491	Williams Brothers BBQ Package	$80.00	Barklage Builders	See us for all of your residential building needs
492	"7 1/4"" Skilsaw Circular Saw"	$75.00	"GILDEHAUS CONSTRUCTION, LLC"	Gildehaus Construction - Tony & Connie Gildehaus
493	Fas-Trip 66-5 Triple shine washes	$40.00	RE/MAX FIRST GOLD	Glenda Kliethermes & Vicki Farr 1st Choice Team Re/Max First Gold where Integrity and Excellent Service = 1st Choice Team
494	$25.00 Gift Certficiate to Quality Copy	$25.00	"QUALITY COPY SERVICE, INC."	"101 W. 5th (Washington), 200 S. Oak (Union)"
495	2 Half Hour Golf Lessons	$80.00	Scott Brauer - PGA Professional	Learn to play your best with the director of Instrucion Scott Brauer
496	1 Hour Golf Lesson	$80.00	Sam Goulden	
497	$50 Unnerstall Oil Gift Certificate	$50.00	Unnerstall Oil CO.	Unnerstall - Proud supplier of Conoco gasolines and diesel fuel.
498	$50 Unnerstall Oil Gift Certificate	$50.00	Unnerstall Oil CO.	Unnerstall - Proud supplier of Conoco gasolines and diesel fuel.
499	Gift Certificate for in-store merchandise	$50.00	Ursula's School of Dance	
500	Williams Brothers Hickory Smoked Slab Bacon	$40.00	Dennis Hemsath Accounting	
501	Droege's Dinner for Eight	$40.00	Schroepfer Bauer Insurance Agency	
502	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	Schroepfer Bauer Insurance Agency	
503	4 Piece BBQ Tool Set - Bistro Collection	$30.00	HILLSBORO TITLE COMPANY	Hillsboro Title Company - 239-9229
504	$500 credit towards closing costs	$500.00	Equity One Mortgage - Kevin O'Connell	"Equity one mortgage, your hometown lender"
505	500 one color business cards	$42.00	Washington Printing Press	For all your business printing and sign needs call Washington Printing Press 636-239-3649 or 1-800-449-7302.
506	500 one color business cards	$42.00	Washington Printing Press	For all your business printing and sign needs call Washington Printing Press 636-239-3649 or 1-800-449-7302.
507	5 cases Willcopy 201b 92 Bright Copy Paper - Delivered	$175.00	Bennett Paper Co.	"Serving the ara industry with corrugatd boxes, die cuts, and packaging materials"
508	1 Week of Child Care	$100.00	Love & Learn Childcare Center	"Linda Sheel owner.  Great location - 2 minutes off Hwy 100, 44 & 50 from all directions.  Call 636-742-3332."
509	Private wine tasting for 10 people.	$100.00	Augusta Winery	Augusta Winery - Augusta Missouri.
510	Gift Certificate to Klondike Café at Montelle Winery	$20.00	Montelle Winery	Montelle Winery - Augusta Missouri
511	Gift Certificate	$50.00	American Bounty Restaurant	The American Bounty located at 430 West Front Street in historic Downtown Washington.
512	gift Certificate	$50.00	American Bounty Restaurant	The American Bounty located at 430 West Front Street in historic Downtown Washington.
513	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
514	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
515	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
516	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
517	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
518	McAfee antivirus software with one year subscription.	$39.00	Software Results Company	
519	Lunch for 2 at Basket Case	$25.00	"Buescher, Ditch & Associates"	"Wastewater treatment, stormwater control, urban & rural land surveying, subdivision design, commercial & industrial site engineering."
520	Droege's BBQ Feast	$45.00	"Buescher, Ditch & Associates"	"Wastewater treatment, stormwater control, urban & rural land surveying, subdivision design, commercial & industrial site engineering."
521	Droege's Six (6) US choice 12oz Ribeye steaks	$45.00	"Buescher, Ditch & Associates"	"Wastewater treatment, stormwater control, urban & rural land surveying, subdivision design, commercial & industrial site engineering."
522	Williams Brothers famous 4 oz filet Mignon	$50.00	"Bennett Packaging, Inc."	"Serving the ara industry with corrugatd boxes, die cuts, and packaging materials"
523	Lunch for 2 at Basket Case	$25.00	Straatmann Toyota	The all-new Toyota tundra - the truck that's changing it all.
524	Dinner for 2 at Chico's	$25.00	Straatmann Toyota	The all-new Toyota tundra - the truck that's changing it all.
525	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	St. Elizabeth Adult Day Care	Providing care for elderly and disabled adults 5 days a week
526	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	S. Elizabeth Adult Day Care Center	Providing care for elderly and disabled adults 5 days a week
527	Whole Hog and Processing	$140.00	"Deppe Farms, Inc."	
528	 Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Michael Dempsey	For all of your estate planning and tax business needs.
529	$50.00 Gift Certificate to Basket Case/Creamery Hill	$50.00	Sid Thayer	"For all your legal needs - Sid Thayer @ 113 Jefferson, Washington, MO"
530	 Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Gordon Upchurch - Attorney at Law	For all your legal needs see Gorden at 30 S. McKinley in Union
531	$50.00 Gift Certificate to Haslag Steel	$50.00	"Haslag Steel Sales, Inc."	"For all of your steel, aluminum and fabrication needs see Haslag Steel - Krakow, Mo.  Gift Certificate is good for Labor or materials"
532	2 Large Pizzas	$35.00	Pizza Hut	Up to 3 toppings or any specialty pizza.  Washington Pizza Hut - 1905 East Fifth St. 636-239-4088
533	 Droege's Six (6) US choice KC 12 oz strip steaks	$45.00	Dempsey Law Firm	
534	Tuxedo Rental w/ shoes	$110.00	Wedding Creations	Wedding Creations is PERFECT for Prom!  Remember us for all of your wedding and prom needs!
535	Dinner for 2	$65.00	Miller's Grill	
536	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Matt Tobben Insurance Agency, Inc."	Give Matt a call.  The #1 auto insurer just lowered their auto insurance rates in Missouri.
537	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Matt Tobben Insurance Agency, Inc."	Give Matt a call.  The #1 auto insurer just lowered their auto insurance rates in Missouri.
538	"$30.00 Hillermann Nursery & Florist, Inc. Gift Certificate"	$30.00	"Matt Tobben Insurance Agency, Inc."	Give Matt a call.  The #1 auto insurer just lowered their auto insurance rates in Missouri.
539	"Emco Self-storing White 32"" Storm Door"	$300.00	"Midwest Exterior, Inc."	"Midwest Exteriors has maintence free energy efficient home exterior products such as windows, doors, siding, soffit & facia, gutters, vinyl decks, railing & fencing.  Midwest Exteriors is locally owned & operated.  Take advantage of the IRS rebates for 07"
540	Williams Brothers Holiday Dinner	$128.00	Quality Reward Travel	
541	Dinner for 4 at Creamery Hill	$100.00	Quality Reward Travel	
542	Droege's Surf and Turf Package	$100.00	Quality Reward Travel	
543	$100.00 Williams Brothers Gift Certificate	$100.00	Quality Reward Travel	
544	Gift Basket	$50.00	The Fudge Shoppe	The Fudge Shoppe is now located at 217 West Main Street in historic Downtown Washington.
